Country,Continent,Population,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,SeriousCritical,TotalCases1M ,Deaths1M ,TotalTests,Tests1M,WHORegion
USA,North America,331198130,5032179,0,162804,0,2576668,0,2292707,18296,15194,492,63139605,190640,Americas
Brazil,South America,212710692,2917562,0,98644,0,2047660,0,771258,8318,13716,464,13206188,62085,Americas
India,Asia,1381344997,2025409,0,41638,0,1377384,0,606387,8944,1466,30,22149351,16035,South-EastAsia
Russia,Europe,145940924,871894,0,14606,0,676357,0,180931,2300,5974,100,29716907,203623,Europe
South Africa,Africa,59381566,538184,0,9604,0,387316,0,141264,539,9063,162,3149807,53044,Africa
Mexico,North America,129066160,462690,6590,50517,819,308848,4140,103325,3987,3585,391,1056915,8189,Americas
Peru,South America,33016319,455409,0,20424,0,310337,0,124648,1426,13793,619,2493429,75521,Americas
Chile,South America,19132514,366671,0,9889,0,340168,0,16614,1358,19165,517,1760615,92022,Americas
Colombia,South America,50936262,357710,0,11939,0,192355,0,153416,1493,7023,234,1801835,35374,Americas
Spain,Europe,46756648,354530,0,28500,0,0,0,0,617,7582,610,7064329,151087,Europe
Iran,Asia,84097623,320117,0,17976,0,277463,0,24678,4156,3806,214,2612763,31068,Eastern Mediterranean
UK,Europe,67922029,308134,0,46413,0,0,0,0,73,4537,683,17515234,257873,Europe
Saudi Arabia,Asia,34865919,284226,0,3055,0,247089,0,34082,1915,8152,88,3635705,104277,Eastern Mediterranean
Pakistan,Asia,221295851,281863,0,6035,0,256058,0,19770,809,1274,27,2058872,9304,Eastern Mediterranean
Bangladesh,Asia,164851401,249651,0,3306,0,143824,0,102521,0,1514,20,1225124,7432,South-EastAsia
Italy,Europe,60452568,249204,0,35187,0,201323,0,12694,42,4122,582,7099713,117443,Europe
Turkey,Asia,84428331,237265,0,5798,0,220546,0,10921,580,2810,69,5081802,60191,Europe
Argentina,South America,45236884,228195,0,4251,0,99852,0,124092,1150,5044,94,794544,17564,Americas
Germany,Europe,83811260,215210,0,9252,0,196200,0,9758,236,2568,110,8586648,102452,Europe
France,Europe,65288306,195633,0,30312,0,82460,0,82861,384,2996,464,3992206,61147,Europe
Iraq,Asia,40306025,140603,0,5161,0,101025,0,34417,517,3488,128,1092741,27111,Eastern Mediterranean
Philippines,Asia,109722719,119460,0,2150,0,66837,0,50473,239,1089,20,1669996,15220,Western Pacific
Indonesia,Asia,273808365,118753,0,5521,0,75645,0,37587,0,434,20,1633156,5965,South-EastAsia
Canada,North America,37775022,118561,0,8966,0,103106,0,6489,2263,3139,237,4319172,114339,Americas
Qatar,Asia,2807805,112092,0,178,0,108831,0,3083,77,39922,63,511000,181993,Eastern Mediterranean
Kazakhstan,Asia,18798667,95942,0,1058,0,68871,0,26013,221,5104,56,2163713,115099,Europe
Egypt,Africa,102516525,95006,0,4951,0,48898,0,41157,41,927,48,135000,1317,Eastern Mediterranean
Ecuador,South America,17668824,90537,0,5877,0,71318,0,13342,378,5124,333,258582,14635,Americas
Bolivia,South America,11688459,86423,0,3465,80,27373,936,55585,71,7394,296,183583,15706,Americas
Sweden,Europe,10105596,81967,0,5766,0,0,0,0,38,8111,571,863315,85429,Europe
Oman,Asia,5118446,80713,0,492,0,70910,0,9311,177,15769,96,309212,60411,Eastern Mediterranean
Israel,Asia,9197590,79559,0,576,0,53427,0,25556,358,8650,63,1872453,203581,Europe
Ukraine,Europe,43705858,76808,0,1819,0,42524,0,32465,158,1757,42,1116641,25549,Europe
Dominican Republic,North America,10858648,76536,0,1246,0,40539,0,34751,317,7048,115,281926,25963,Americas
Panama,North America,4321282,71418,0,1574,0,45658,0,24186,161,16527,364,240995,55769,Americas
Belgium,Europe,11594739,71158,0,9859,0,17661,0,43638,61,6137,850,1767120,152407,Europe
Kuwait,Asia,4276658,70045,0,469,0,61610,0,7966,127,16378,110,522200,122105,Eastern Mediterranean
Belarus,Europe,9449001,68503,0,580,0,63756,0,4167,0,7250,61,1344303,142269,Europe
UAE,Asia,9902079,61845,0,354,0,55739,0,5752,0,6246,36,5262658,531470,Eastern Mediterranean
